"gene_symbol","gene_id","chromosome","gene_entrez_id","gene_name"
"0610005C13Rik",500717483,"7",71661,"RIKEN cDNA 0610005C13 gene"
"0610006L08Rik",500717917,"7",76253,"RIKEN cDNA 0610006L08 gene"
"0610007P14Rik",500730104,"12",58520,"RIKEN cDNA 0610007P14 gene"
"0610009B22Rik",500726890,"11",66050,"RIKEN cDNA 0610009B22 gene"
"0610009E02Rik",500702775,"2",100125929,"RIKEN cDNA 0610009E02 gene"
"0610009L18Rik",500728916,"11",66838,"RIKEN cDNA 0610009L18 gene"
"0610009O20Rik",500740789,"18",66839,"RIKEN cDNA 0610009O20 gene"
"0610010B08Rik",500705690,"2",100039060,"RIKEN cDNA 0610010B08 gene"
"0610010F05Rik",500726497,"11",71675,"RIKEN cDNA 0610010F05 gene"
"0610010K14Rik",500727426,"11",104457,"RIKEN cDNA 0610010K14 gene"
"0610011F06Rik",500738827,"17",68347,"RIKEN cDNA 0610011F06 gene"
"0610012G03Rik",500737388,"16",106264,"RIKEN cDNA 0610012G03 gene"
"0610025J13Rik",500709220,"4",78687,"RIKEN cDNA 0610025J13 gene"
"0610030E20Rik",500714464,"6",68364,"RIKEN cDNA 0610030E20 gene"
"0610031O16Rik",500707816,"3",68369,"RIKEN cDNA 0610031O16 gene"
"0610037L13Rik",500709375,"4",74098,"RIKEN cDNA 0610037L13 gene"
"0610038B21Rik",500720716,"8",70345,"RIKEN cDNA 0610038B21 gene"
"0610039H22Rik",500727995,"11",68397,"RIKEN cDNA 0610039H22 gene"
"0610039K10Rik",500705356,"2",68386,"RIKEN cDNA 0610039K10 gene"
"0610040B10Rik",500713014,"5",67672,"RIKEN cDNA 0610040B10 gene"
"0610040F04Rik",500714974,"6",75394,"RIKEN cDNA 0610040F04 gene"
"0610040J01Rik",500711477,"5",76261,"RIKEN cDNA 0610040J01 gene"
"0610043K17Rik",500709267,"4",68400,"RIKEN cDNA 0610043K17 gene"
"1010001N08Rik",500740360,"18",68434,"RIKEN cDNA 1010001N08 gene"
"1100001I12Rik",500735549,"15",75405,"RIKEN cDNA 1100001I12 gene"
"1110001J03Rik",500713635,"6",66117,"RIKEN cDNA 1110001J03 gene"
"1110002J07Rik",500724869,"10",68488,"RIKEN cDNA 1110002J07 gene"
"1110002L01Rik",500729005,"12",100043040,"RIKEN cDNA 1110002L01 gene"
"1110002O04Rik",500700005,"1",68483,"RIKEN cDNA 1110002O04 gene"
"1110004E09Rik",500738056,"16",68001,"RIKEN cDNA 1110004E09 gene"
"1110004F10Rik",500718847,"7",56372,"RIKEN cDNA 1110004F10 gene"
"1110006O24Rik",500712377,"5",66123,"RIKEN cDNA 1110006O24 gene"
"1110007C09Rik",500731813,"13",68480,"RIKEN cDNA 1110007C09 gene"
"1110008F13Rik",500705247,"2",67388,"RIKEN cDNA 1110008F13 gene"
"1110008L16Rik",500729646,"12",66132,"RIKEN cDNA 1110008L16 gene"
"1110008P14Rik",500702970,"2",73737,"RIKEN cDNA 1110008P14 gene"
"1110012L19Rik",500743728,"X",68618,"RIKEN cDNA 1110012L19 gene"
"1110015O18Rik",500705868,"3",100503859,"RIKEN cDNA 1110015O18 gene"
"1110017D15Rik",500708472,"4",73721,"RIKEN cDNA 1110017D15 gene"
"1110018N20Rik",500705482,"2",68941,"RIKEN cDNA 1110018N20 gene"
"1110019D14Rik",500713351,"6",76311,"RIKEN cDNA 1110019D14 gene"
"1110020A21Rik",500740142,"17",68531,"RIKEN cDNA 1110020A21 gene"
"1110025L11Rik",500737997,"16",68637,"RIKEN cDNA 1110025L11 gene"
"1110028F11Rik",500727966,"11",68690,"RIKEN cDNA 1110028F11 gene"
"1110028F18Rik",500721277,"8",68692,"RIKEN cDNA 1110028F18 gene"
"1110032A03Rik",500722664,"9",68721,"RIKEN cDNA 1110032A03 gene"
"1110032F04Rik",500706588,"3",68725,"RIKEN cDNA 1110032F04 gene"
"1110034G24Rik",500704798,"2",73747,"RIKEN cDNA 1110034G24 gene"
"1110036E04Rik",500722957,"9",68697,"RIKEN cDNA 1110036E04 gene"
"1110037F02Rik",500708193,"4",66185,"RIKEN cDNA 1110037F02 gene"
"1110038B12Rik",500739190,"17",68763,"RIKEN cDNA 1110038B12 gene"
"1110038F14Rik",500736010,"15",117171,"RIKEN cDNA 1110038F14 gene"
"1110046J04Rik",500731565,"13",68808,"RIKEN cDNA 1110046J04 gene"
"1110051M20Rik",500704047,"2",228356,"RIKEN cDNA 1110051M20 gene"
"1110054M08Rik",500737301,"16",68841,"RIKEN cDNA 1110054M08 gene"
"1110057K04Rik",500729069,"12",68832,"RIKEN cDNA 1110057K04 gene"
"1110057P08Rik",500738007,"16",68844,"RIKEN cDNA 1110057P08 gene"
"1110058D11Rik",500739845,"17",68771,"RIKEN cDNA 1110058D11 gene"
"1110058L19Rik",500699896,"1",68002,"RIKEN cDNA 1110058L19 gene"
"1110059E24Rik",500742101,"19",66206,"RIKEN cDNA 1110059E24 gene"
"1110059G10Rik",500724044,"9",66202,"RIKEN cDNA 1110059G10 gene"
"1110065P20Rik",500709767,"4",68920,"RIKEN cDNA 1110065P20 gene"
"1190002F15Rik",500715567,"6",381822,"RIKEN cDNA 1190002F15 gene"
"1190002N15Rik",500723423,"9",68861,"RIKEN cDNA 1190002N15 gene"
"1190003K10Rik",500732212,"13",68880,"RIKEN cDNA 1190003K10 gene"
"1190005I06Rik",500721513,"8",68918,"RIKEN cDNA 1190005I06 gene"
"1190007I07Rik",500725344,"10",544717,"RIKEN cDNA 1190007I07 gene"
"1190028D05Rik",500720350,"8",330767,"RIKEN cDNA 1190028D05 gene"
"1200014J11Rik",500727526,"11",66874,"RIKEN cDNA 1200014J11 gene"
"1300002E11Rik",500737230,"16",100043489,"RIKEN cDNA 1300002E11 gene"
"1300017J02Rik",500723569,"9",71775,"RIKEN cDNA 1300017J02 gene"
"1500002F19Rik",500719237,"7",76683,"RIKEN cDNA 1500002F19 gene"
"1500004A13Rik",500706851,"3",319830,"RIKEN cDNA 1500004A13 gene"
"1500009C09Rik",500736219,"15",76505,"RIKEN cDNA 1500009C09 gene"
"1500009L16Rik",500725365,"10",69784,"RIKEN cDNA 1500009L16 gene"
"1500011B03Rik",500712332,"5",66236,"RIKEN cDNA 1500011B03 gene"
"1500011K16Rik",500704648,"2",67885,"RIKEN cDNA 1500011K16 gene"
"1500012F01Rik",500705475,"2",68949,"RIKEN cDNA 1500012F01 gene"
"1500012K07Rik",500717920,"7",68954,"RIKEN cDNA 1500012K07 gene"
"1500015A07Rik",500741113,"18",68982,"RIKEN cDNA 1500015A07 gene"
"1500015L24Rik",500742083,"19",68994,"RIKEN cDNA 1500015L24 gene"
"1500015O10Rik",500700149,"1",78896,"RIKEN cDNA 1500015O10 gene"
"1500017E21Rik",500742327,"19",668215,"RIKEN cDNA 1500017E21 gene"
"1500026H17Rik",500725474,"10",69002,"RIKEN cDNA 1500026H17 gene"
"1500035N22Rik",500711006,"5",70258,"RIKEN cDNA 1500035N22 gene"
"1520401A03Rik",500738682,"17",320309,"RIKEN cDNA 1520401A03 gene"
"1600002D24Rik",500738166,"16",69776,"RIKEN cDNA 1600002D24 gene"
"1600002H07Rik",500738719,"17",72016,"RIKEN cDNA 1600002H07 gene"
"1600002K03Rik",500725201,"10",69770,"RIKEN cDNA 1600002K03 gene"
"1600010M07Rik",500718766,"7",69781,"RIKEN cDNA 1600010M07 gene"
"1600012H06Rik",500738433,"17",67912,"RIKEN cDNA 1600012H06 gene"
"1600014C10Rik",500717189,"7",72244,"RIKEN cDNA 1600014C10 gene"
"1600014C23Rik",500739529,"17",72240,"RIKEN cDNA 1600014C23 gene"
"1600014K23Rik",500743982,"X",71996,"RIKEN cDNA 1600014K23 gene"
"1600015I10Rik",500713918,"6",69761,"RIKEN cDNA 1600015I10 gene"
"1600019K03Rik",500737459,"16",69768,"RIKEN cDNA 1600019K03 gene"
"1600020E01Rik",500714682,"6",72012,"RIKEN cDNA 1600020E01 gene"
"1600023N17Rik",500711379,"5",69788,"RIKEN cDNA 1600023N17 gene"
"1600025M17Rik",500743577,"X",72030,"RIKEN cDNA 1600025M17 gene"
"1600027J07Rik",500721152,"8",69794,"RIKEN cDNA 1600027J07 gene"
"1600029I14Rik",500723518,"9",69797,"RIKEN cDNA 1600029I14 gene"
"1600029O15Rik",500722827,"9",665268,"RIKEN cDNA 1600029O15 gene"
"1700001C02Rik",500711111,"5",75434,"RIKEN cDNA 1700001C02 gene"
"1700001C19Rik",500739595,"17",75462,"RIKEN cDNA 1700001C19 gene"
"1700001D01Rik",500720422,"8",69279,"RIKEN cDNA 1700001D01 gene"
"1700001F09Rik",500733730,"14",71826,"RIKEN cDNA 1700001F09 gene"
"1700001G01Rik",500740440,"18",75433,"RIKEN cDNA 1700001G01 gene"
"1700001G11Rik",500734579,"14",69303,"RIKEN cDNA 1700001G11 gene"
"1700001G17Rik",500699968,"1",67503,"RIKEN cDNA 1700001G17 gene"
"1700001J03Rik",500713094,"5",69282,"RIKEN cDNA 1700001J03 gene"
"1700001J11Rik",500722409,"9",72224,"RIKEN cDNA 1700001J11 gene"
"1700001K19Rik",500730597,"12",66323,"RIKEN cDNA 1700001K19 gene"
"1700001K23Rik",500742641,"19",69319,"RIKEN cDNA 1700001K23 gene"
"1700001L05Rik",500736268,"15",69291,"RIKEN cDNA 1700001L05 gene"
